Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Хорошёвская;2;48;1;12;Нет аукциона;15 700 000;Экологический вклад -779 кг CO₂
Аминьевская;3;75,4;34;37;Нет аукциона;35 000 000;Реквизиты не проверены
Шелепиха;2;44;5;9;Нет аукциона;14 200 000;Реквизиты не проверены
Улица Скобелевская;2;61;18;19;Нет аукциона;11 200 000;Документы проверены
Смоленская;2;65;4;5;Нет аукциона;32 000 000;Документы проверены
Царицыно;1;40,6;16;18;Нет аукциона;9 500 000;Документы проверены
Коломенская;3;70;4;7;Нет аукциона;20 900 000;Документы проверены
Перово;1;31,5;2;9;Нет аукциона;9 990 000;Документы проверены
Улица Горчакова;3;79;3;10;Нет аукциона;17 000 000;Документы проверены
Спортивная;3;64,1;5;6;Нет аукциона;25 200 000;Экологический вклад -1 кг CO₂
Ясенево;1;33;9;9;Нет аукциона;8 699 000;Реквизиты не проверены
Нагатинская;1;47,6;11;15;Нет аукциона;15 300 000;Реквизиты проверены
Улица Скобелевская;2;57,6;9;17;Нет аукциона;16 499 999;Экологический вклад -1060 кг CO₂
Марьино;1;39,3;3;12;Нет аукциона;9 000 000;Документы проверены
Алексеевская;4;88;1;8;Нет аукциона;22 500 000;Документы проверены
Технопарк;2;60;4;19;Нет аукциона;20 500 000;Реквизиты не проверены
Аннино;2;51;5;5;Нет аукциона;10 000 000;Документы проверены
Селигерская;1;37,7;14;18;Нет аукциона;11 600 000;Экологический вклад -5 кг CO₂
Лухмановская;1;39;2;9;Нет аукциона;9 300 000;Реквизиты проверены
Молодёжная;3;73,8;16;17;Нет аукциона;21 500 000;Реквизиты не проверены
Царицыно;3;115,8;7;15;Нет аукциона;29 000 000;Реквизиты проверены
Медведково;2;60;10;17;Нет аукциона;25 000 000;Реквизиты не проверены
Пражская;3;48,9;3;9;Нет аукциона;12 000 000;Документы проверены
Беляево;1;17,7;6;15;Нет аукциона;7 900 000;Реквизиты проверены
Братиславская;2;64,5;25;25;Нет аукциона;15 500 000;Экологический вклад -86 кг CO₂
Ботанический сад;2;51;12;19;Нет аукциона;18 490 000;Реквизиты не проверены
Воронцовская;4;172;8;31;Нет аукциона;79 000 000;Реквизиты не проверены
Текстильщики;1;33,5;16;22;Нет аукциона;9 990 000;Реквизиты проверены
Люблино;2;45;8;9;Нет аукциона;11 700 000;Реквизиты проверены
Свиблово;2;51,3;9;14;Нет аукциона;17 500 000;Реквизиты проверены
Беломорская;3;56;3;9;Нет аукциона;14 000 000;Документы проверены
Профсоюзная;4;145,7;17;24;Нет аукциона;57 900 000;Реквизиты проверены
ЗИЛ;3;69,8;2;16;Нет аукциона;26 850 000;Документы проверены
Улица Скобелевская;1;38,5;7;17;Нет аукциона;5 750 000;Документы проверены
Тушинская;3;86,9;3;5;Нет аукциона;27 399 000;Реквизиты не проверены
Тушинская;3;86,9;3;5;Нет аукциона;27 399 000;Реквизиты не проверены
Нагорная;3;82;3;8;Нет аукциона;17 700 000;Документы проверены
Сокол;2;55,5;8;10;Нет аукциона;20 300 000;Документы проверены
Улица Скобелевская;2;66;15;17;Нет аукциона;17 400 000;Экологический вклад -15 кг CO₂
Нагатинский затон;3;61;2;12;Нет аукциона;26 800 000;Экологический вклад -102 кг CO₂
Ховрино;3;72,4;12;24;Нет аукциона;22 500 000;Документы проверены
Кунцевская;3;84,8;5;5;Нет аукциона;18 500 000;Реквизиты проверены
Шаболовская;4;113;8;14;Нет аукциона;90 000 000;Реквизиты не проверены
Нахимовский проспект;1;36,4;14;16;Нет аукциона;12 000 000;Реквизиты не проверены
Селигерская;2;44,5;8;8;Нет аукциона;13 200 000;Документы проверены
Давыдково;3;60;5;9;Нет аукциона;17 999 999;Документы проверены
Ломоносовский проспект;2;37,1;3;9;Нет аукциона;13 900 000;Реквизиты не проверены
Марьина Роща;3;80;10;15;Нет аукциона;32 500 000;Реквизиты проверены
Митино;3;83,8;6;17;Нет аукциона;23 500 000;Документы проверены
Юго-Восточная;2;53;6;14;Нет аукциона;11 400 000;Реквизиты не проверены
