Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Царицыно;3;97;6;11;Нет аукциона;21 500 000;Документы проверены
Измайловская;1;40,3;11;19;Нет аукциона;14 000 000;Реквизиты не проверены
Улица академика Янгеля;3;58,6;7;9;Нет аукциона;17 000 000;Экологический вклад -6400 кг CO₂
Славянский бульвар;2;53,4;14;23;Нет аукциона;25 900 000;Реквизиты не проверены
Борисово;3;76;1;14;Нет аукциона;17 800 000;Реквизиты не проверены
Арбатская;3;90;6;6;Нет аукциона;46 900 000;Реквизиты проверены
Арбатская;3;90;6;6;Нет аукциона;46 900 000;Реквизиты проверены
Стахановская;3;84;6;15;Нет аукциона;25 400 000;Реквизиты не проверены
Спортивная;7;305;2;5;Нет аукциона;350 000 000;Реквизиты проверены
Народное Ополчение;4;114,6;55;58;Нет аукциона;39 990 000;Реквизиты проверены
ЦСКА;2;67;7;7;Нет аукциона;42 000 000;Реквизиты не проверены
Бульвар Рокоссовского;1;30,4;1;5;Нет аукциона;10 800 000;Документы проверены
Ростокино;3;128;37;56;Нет аукциона;30 091 788;Реквизиты проверены
Шаболовская;3;112,9;11;23;Нет аукциона;44 179 268;Реквизиты проверены
Давыдково;3;82,1;6;16;Нет аукциона;20 000 000;Реквизиты не проверены
Шаболовская;3;127,5;8;23;Нет аукциона;54 564 062;Реквизиты проверены
Шаболовская;4;140,5;7;23;Нет аукциона;54 326 716;Реквизиты проверены
Лефортово;1;35;6;12;Нет аукциона;10 750 000;Реквизиты не проверены
Улица Скобелевская;3;78,4;11;17;Нет аукциона;14 250 000;Реквизиты не проверены
Отрадное;2;57,7;3;17;Нет аукциона;15 700 000;Реквизиты не проверены
Тверская;2;61,4;3;8;Нет аукциона;30 000 000;Реквизиты проверены
Улица академика Янгеля;3;58,9;5;9;Нет аукциона;13 500 000;Реквизиты проверены
Молодёжная;1;31,5;6;9;Нет аукциона;10 900 000;Реквизиты не проверены
Жулебино;1;34,9;9;14;Нет аукциона;7 990 000;Реквизиты проверены
Бибирево;3;70,2;8;16;Нет аукциона;16 464 000;Реквизиты не проверены
Семёновская;2;48;8;12;Нет аукциона;11 990 000;Реквизиты проверены
Рассказовка;2;60,4;1;17;Нет аукциона;13 700 000;Экологический вклад -52 кг CO₂
Тверская;7;264;1;4;Нет аукциона;54 000 000;Реквизиты проверены
Молодёжная;1;38;7;16;Нет аукциона;11 998 000;Реквизиты не проверены
Алексеевская;2;47;4;7;Нет аукциона;15 000 000;Реквизиты проверены
Дмитровская;4;130;5;59;Нет аукциона;75 000 000;Реквизиты проверены
Новокосино;2;53,6;12;17;Аукцион;от 3 879 261;Реквизиты проверены
Давыдково;2;57;7;22;Нет аукциона;13 500 000;Реквизиты проверены
Бунинская аллея;1;34,8;4;25;Нет аукциона;10 000 000;Реквизиты не проверены
Октябрьская;5;63;2;6;Аукцион;от 21 924 000;Реквизиты проверены
Тимирязевская;2;45;5;9;Нет аукциона;11 800 000;Реквизиты проверены
Динамо;1;18;3;12;Нет аукциона;4 500 000;Реквизиты проверены
Царицыно;1;35,4;5;12;Нет аукциона;10 800 000;Реквизиты не проверены
Улица Скобелевская;3;76;3;10;Нет аукциона;16 100 000;Реквизиты проверены
Царицыно;1;36,2;11;21;Нет аукциона;9 100 000;Реквизиты проверены
Тёплый стан;Квартира;м²,;эт.;ВДНХ;2;51,3;4;16;Нет аукциона;13 650 000;Реквизиты не проверены
Верхние Лихоборы;1;35;21;26;Нет аукциона;11 000 000;Документы проверены
Улица академика Янгеля;1;36,3;1;9;Нет аукциона;7 700 000;Экологический вклад -421 кг CO₂
Солнцево;1;40;17;20;Нет аукциона;14 500 000;Экологический вклад -20 кг CO₂
Шелепиха;4;102,9;8;28;Нет аукциона;24 650 000;Реквизиты проверены
Чертановская;1;34,1;8;9;Нет аукциона;9 000 000;Реквизиты не проверены
Кантемировская;3;64;14;14;Нет аукциона;14 300 000;Экологический вклад -9 кг CO₂
Первомайская;1;31;3;9;Нет аукциона;8 550 000;Реквизиты проверены
Тушинская;1;33;4;5;Нет аукциона;10 500 000;Реквизиты не проверены
Народное Ополчение;1;33;1;9;Нет аукциона;12 500 000;Реквизиты не проверены
