Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Крымская;2;41,8;3;5;Нет аукциона;14 000 000;Экологический вклад -4820 кг CO₂
Ботанический сад;1;35,3;6;18;Нет аукциона;15 000 000;Экологический вклад -68 кг CO₂
Пролетарская;1;40;12;12;Нет аукциона;11 350 000;Экологический вклад -249 кг CO₂
Бибирево;2;52;4;12;Нет аукциона;12 990 000;Документы проверены
Царицыно;1;40,7;7;18;Нет аукциона;10 900 000;Документы проверены
Пражская;2;44,2;9;9;Нет аукциона;12 000 000;Реквизиты не проверены
Бабушкинская;1;32,7;3;9;Нет аукциона;7 700 000;Реквизиты проверены
Молодёжная;1;42,1;8;17;Нет аукциона;9 350 000;Реквизиты проверены
Народное Ополчение;1;38;6;12;Нет аукциона;11 000 000;Реквизиты не проверены
Тульская;4;125;5;14;Нет аукциона;70 000 000;Документы проверены
Новокосино;2;55,6;17;17;Нет аукциона;13 990 000;Реквизиты не проверены
Перово;2;44,7;8;12;Нет аукциона;14 750 000;Реквизиты не проверены
Царицыно;1;35,4;5;12;Нет аукциона;10 800 000;Реквизиты не проверены
Кунцевская;1;30,2;4;5;Нет аукциона;11 350 000;Экологический вклад -6190 кг CO₂
Беломорская;2;52;8;12;Нет аукциона;23 900 000;Реквизиты не проверены
Беговая;1;34;1;4;Нет аукциона;9 900 000;Экологический вклад -2130 кг CO₂
Нагатинский затон;1;39,2;4;12;Нет аукциона;10 950 000;Реквизиты не проверены
Некрасовка;2;51,3;16;17;Нет аукциона;14 500 000;Экологический вклад -5 кг CO₂
Бибирево;2;44;6;8;Нет аукциона;12 000 000;Экологический вклад -809 кг CO₂
Каховская;2;60,3;8;14;Нет аукциона;17 490 000;Экологический вклад -2 кг CO₂
Улица Горчакова;2;51,5;5;9;Нет аукциона;11 800 000;Реквизиты проверены
Улица академика Янгеля;2;44,5;10;12;Нет аукциона;9 500 000;Реквизиты проверены
Народное Ополчение;1;26,7;3;9;Нет аукциона;9 500 000;Реквизиты проверены
Ховрино;3;88;14;33;Нет аукциона;19 950 000;Документы проверены
Электрозаводская;2;43,7;1;3;Нет аукциона;7 110 000;Реквизиты проверены
Менделеевская;4;175;2;6;Нет аукциона;62 000 000;Реквизиты не проверены
Улица Скобелевская;2;59,2;12;25;Нет аукциона;9 990 000;Документы проверены
Новопеределкино;3;73,3;16;17;Нет аукциона;15 000 000;Реквизиты проверены
Нагатинская;2;67,7;15;15;Нет аукциона;19 800 000;Реквизиты проверены
Октябрьское поле;3;71,5;6;9;Нет аукциона;21 500 000;Реквизиты проверены
Тверская;7;264;1;4;Нет аукциона;54 000 000;Реквизиты проверены
Бабушкинская;2;52,2;3;12;Нет аукциона;10 899 000;Документы проверены
Беломорская;2;58,4;7;9;Нет аукциона;17 450 000;Документы проверены
Академическая;3;75,6;9;19;Нет аукциона;22 500 000;Экологический вклад -26 кг CO₂
Академическая;2;38,3;11;12;Нет аукциона;12 860 000;Реквизиты не проверены
Жулебино;1;37;8;10;Нет аукциона;9 600 000;Реквизиты не проверены
Шелепиха;1;39,5;3;36;Нет аукциона;11 613 600;Реквизиты проверены
Улица Скобелевская;2;61;17;21;Нет аукциона;8 250 000;Реквизиты не проверены
Киевская;2;51,6;10;12;Нет аукциона;21 290 000;Реквизиты не проверены
Улица Скобелевская;2;61;17;21;Нет аукциона;8 250 000;Реквизиты не проверены
Киевская;2;51,6;10;12;Нет аукциона;21 290 000;Реквизиты не проверены
Выхино;2;45;7;9;Нет аукциона;10 999 000;Реквизиты не проверены
Ясенево;3;59;7;9;Нет аукциона;13 990 000;Экологический вклад -109 кг CO₂
Тропарёво;3;75;16;16;Нет аукциона;24 600 000;Документы проверены
Молодёжная;1;38,1;9;17;Нет аукциона;7 650 000;Экологический вклад -84 кг CO₂
Университет;2;58,8;4;9;Нет аукциона;20 000 000;Реквизиты не проверены
Верхние Лихоборы;1;23,6;2;33;Нет аукциона;5 200 000;Экологический вклад -8 кг CO₂
Бибирево;1;32,4;4;9;Нет аукциона;8 000 000;Реквизиты не проверены
Царицыно;1;36;1;16;Нет аукциона;7 700 000;Реквизиты не проверены
Новаторская;1;45;4;22;Нет аукциона;18 000 000;Документы проверены
