Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Солнцево;1;45;9;22;Нет аукциона;12 670 000;Реквизиты проверены
Бабушкинская;1;32,4;5;9;Нет аукциона;9 500 000;Реквизиты не проверены
Кунцевская;1;50;6;14;Нет аукциона;17 700 000;Реквизиты не проверены
Бунинская аллея;3;74;1;3;Нет аукциона;18 900 000;Документы проверены
Домодедовская;1;38,8;7;14;Нет аукциона;11 700 000;Реквизиты не проверены
Преображенская площадь;3;55;6;9;Нет аукциона;16 250 000;Реквизиты не проверены
Стахановская;4;105,7;9;23;Нет аукциона;25 500 000;Реквизиты не проверены
Профсоюзная;2;38;2;9;Нет аукциона;13 950 000;Реквизиты не проверены
Селигерская;2;46,5;4;12;Нет аукциона;12 500 000;Реквизиты не проверены
Водный стадион;1;34,8;26;29;Нет аукциона;12 990 000;Документы проверены
Народное Ополчение;3;77;19;22;Нет аукциона;30 000 000;Документы проверены
Народное Ополчение;1;56,9;9;19;Нет аукциона;23 000 000;Документы проверены
Локомотив;3;68,9;11;37;Нет аукциона;26 999 900;Документы проверены
Крылатское;5;162;12;22;Нет аукциона;74 999 999;Экологический вклад -73 кг CO₂
Минская;3;110;8;12;Нет аукциона;59 000 000;Реквизиты не проверены
Хорошёво;4;115,5;18;27;Нет аукциона;44 970 000;Реквизиты проверены
Аминьевская;2;41;19;32;Нет аукциона;19 000 000;Реквизиты не проверены
Давыдково;3;74;2;17;Нет аукциона;17 500 000;Документы проверены
Менделеевская;3;117;3;14;Нет аукциона;57 500 000;Экологический вклад -570 кг CO₂
Речной вокзал;3;91,9;17;24;Нет аукциона;31 200 000;Реквизиты не проверены
Коптево;2;45;4;5;Нет аукциона;12 500 000;Реквизиты не проверены
Улица Старокачаловская;2;54;17;17;Нет аукциона;12 900 000;Реквизиты не проверены
Юго-Восточная;2;37,4;1;12;Нет аукциона;9 600 000;Реквизиты не проверены
ВДНХ;1;31;10;12;Нет аукциона;12 000 000;Документы проверены
Беговая;2;70;5;7;Нет аукциона;32 000 000;Реквизиты не проверены
Беляево;4;103;19;20;Нет аукциона;36 750 000;Экологический вклад -437 кг CO₂
Отрадное;2;52,2;6;12;Нет аукциона;12 900 000;Реквизиты проверены
Шелепиха;4;114;8;18;Нет аукциона;55 000 000;Реквизиты не проверены
Пятницкое шоссе;3;130;4;7;Нет аукциона;37 500 000;Документы проверены
Бунинская аллея;4;94;3;8;Нет аукциона;24 000 000;Документы проверены
Тверская;3;254,1;11;11;Нет аукциона;268 312 000;Реквизиты проверены
Некрасовка;2;57,6;6;17;Нет аукциона;12 900 000;Документы проверены
Серпуховская;3;113;10;14;Нет аукциона;84 750 000;Реквизиты не проверены
Достоевская;2;56,9;8;15;Нет аукциона;28 900 000;Документы проверены
Румянцево;2;39,1;4;6;Нет аукциона;10 900 000;Экологический вклад -12 кг CO₂
Молодёжная;4;112;14;22;Нет аукциона;89 780 000;Документы проверены
ЦСКА;2;72,6;26;41;Нет аукциона;41 900 000;Реквизиты проверены
Варшавская;1;45;9;23;Нет аукциона;15 490 000;Реквизиты не проверены
Стахановская;2;64;19;19;Нет аукциона;17 600 000;Реквизиты не проверены
Минская;2;44;11;14;Нет аукциона;35 000 000;Реквизиты проверены
Шелепиха;3;85,5;36;51;Нет аукциона;50 000 000;Реквизиты не проверены
Фрунзенская;4;145,2;7;14;Нет аукциона;100 000 000;Реквизиты проверены
Выставочная;4;126,3;16;20;Нет аукциона;104 000 000;Реквизиты проверены
Зюзино;5;181;22;23;Нет аукциона;105 000 000;Реквизиты не проверены
Перово;5;150;17;25;Нет аукциона;49 000 000;Реквизиты не проверены
Говорово;1;45;2;17;Нет аукциона;14 300 000;Документы проверены
Ростокино;3;109;45;56;Нет аукциона;28 726 029;Реквизиты проверены
Аннино;2;52,3;13;16;Нет аукциона;15 500 000;Реквизиты проверены
Тимирязевская;3;95;11;24;Нет аукциона;49 950 000;Реквизиты не проверены
Народное Ополчение;3;84,2;15;24;Нет аукциона;28 400 000;Реквизиты не проверены
