Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Селигерская;1;39,4;6;24;Нет аукциона;13 150 000;Реквизиты не проверены
Селигерская;3;72,9;2;9;Нет аукциона;17 500 000;Реквизиты не проверены
Царицыно;2;48,8;3;12;Нет аукциона;12 200 000;Документы проверены
Чертановская;1;49;26;28;Нет аукциона;17 700 000;Документы проверены
Улица академика Янгеля;1;38,7;4;12;Нет аукциона;11 900 000;Реквизиты не проверены
Алексеевская;2;44;1;5;Нет аукциона;11 600 000;Реквизиты не проверены
Третьяковская;4;133;1;4;Нет аукциона;69 900 000;Реквизиты проверены
Кунцевская;3;64,5;2;5;Нет аукциона;17 990 000;Реквизиты не проверены
Ломоносовский проспект;2;49;8;9;Нет аукциона;16 250 000;Реквизиты проверены
Нахимовский проспект;3;62,9;4;9;Нет аукциона;14 300 000;Реквизиты не проверены
Бабушкинская;3;73,7;20;22;Нет аукциона;14 497 000;Реквизиты не проверены
Улица Дмитриевского;2;60,3;13;13;Нет аукциона;15 500 000;Документы проверены
Новаторская;3;60;5;10;Нет аукциона;17 800 000;Реквизиты не проверены
Кунцевская;1;30,2;4;5;Нет аукциона;11 350 000;Экологический вклад -6190 кг CO₂
Аминьевская;1;38;2;35;Нет аукциона;25 700 000;Реквизиты проверены
Тёплый стан;2;40;4;14;Нет аукциона;10 190 000;Реквизиты не проверены
Студенческая;3;81;9;10;Нет аукциона;35 000 000;Реквизиты проверены
Медведково;2;51,5;7;22;Нет аукциона;11 600 000;Документы проверены
Печатники;2;44,3;8;9;Нет аукциона;10 500 000;Реквизиты проверены
Ростокино;2;44;4;9;Нет аукциона;11 550 000;Реквизиты не проверены
Бульвар Рокоссовского;2;32;3;9;Нет аукциона;10 800 000;Документы проверены
Некрасовка;2;60,4;4;17;Нет аукциона;11 950 000;Реквизиты не проверены
Кожуховская;2;54;3;5;Нет аукциона;15 000 000;Реквизиты не проверены
Давыдково;1;35,4;18;29;Нет аукциона;12 300 000;Реквизиты не проверены
Аминьевская;1;41,1;36;40;Нет аукциона;14 800 000;Документы проверены
Улица Скобелевская;3;79;2;22;Нет аукциона;16 500 000;Документы проверены
Молодёжная;1;37,6;2;17;Нет аукциона;12 500 000;Реквизиты проверены
Алтуфьево;3;62;5;14;Нет аукциона;14 750 000;Реквизиты не проверены
Крылатское;3;69;8;14;Нет аукциона;19 200 000;Реквизиты проверены
Водный стадион;2;45,3;2;9;Нет аукциона;12 800 000;Реквизиты не проверены
Мякинино;2;38,9;7;15;Нет аукциона;11 700 000;Документы проверены
Чертановская;1;38,7;3;17;Нет аукциона;11 100 000;Реквизиты проверены
Верхние Лихоборы;1;35,5;15;21;Нет аукциона;12 590 000;Реквизиты не проверены
Селигерская;3;109,5;20;24;Нет аукциона;38 600 000;Документы проверены
Лефортово;1;36,4;13;23;Нет аукциона;9 166 000;Реквизиты проверены
Новослободская;7;161,5;3;6;Нет аукциона;67 000 000;Реквизиты проверены
Маяковская;4;91;3;5;Нет аукциона;44 900 000;Реквизиты проверены
Улица Скобелевская;2;53,8;8;9;Нет аукциона;12 600 000;Реквизиты не проверены
Рассказовка;1;37,8;7;17;Нет аукциона;9 300 000;Документы проверены
Шелепиха;2;64;21;36;Нет аукциона;32 000 000;Реквизиты проверены
Шоссе Энтузиастов;1;43;9;32;Нет аукциона;14 600 000;Документы проверены
Митино;5;156;3;4;Нет аукциона;52 000 000;Реквизиты проверены
Улица Дмитриевского;2;63;12;12;Нет аукциона;16 950 000;Документы проверены
Марксистская;3;90;4;4;Нет аукциона;47 500 000;Реквизиты не проверены
Рассказовка;1;40;17;17;Нет аукциона;10 500 000;Реквизиты не проверены
Щукинская;2;55;1;16;Нет аукциона;14 000 000;Документы проверены
Солнцево;4;111;17;25;Нет аукциона;33 500 000;Документы проверены
Сокол;4;98,9;4;8;Нет аукциона;29 000 000;Экологический вклад -5 кг CO₂
Дмитровская;3;87;22;30;Нет аукциона;27 000 000;Реквизиты не проверены
Фрунзенская;2;40,3;2;9;Нет аукциона;21 000 000;Реквизиты не проверены
